Numero_dossier_ID,temps_total_sec,temps_total_min
5470687,433.0,7.216666666666667
5470786,201.0,3.35
5470787,1502.0,25.033333333333335
5470790,73.0,1.2166666666666666
5470920,757.0,12.616666666666667
5470922,2086.0,34.766666666666666
5470943,207.0,3.45
5470958,1849.0,30.816666666666666
5471035,3923.0,65.38333333333334
5471118,1974.0,32.9
5471212,215.0,3.5833333333333335
5471214,2693.0,44.88333333333333
5471227,237.0,3.95
5471248,4551.0,75.85
5471259,94.0,1.5666666666666667
5471278,962.0,16.033333333333335
5471331,2045.0,34.083333333333336
5471436,165.0,2.75
5471439,1429.0,23.816666666666666
5471481,2170.0,36.166666666666664
5471492,494.0,8.233333333333333
5471519,354.0,5.9
5471562,393.0,6.55
5471611,4836.0,80.6
5471614,924.0,15.4
5471624,439.0,7.316666666666666
5471694,792.0,13.2
5471755,767.0,12.783333333333333
5471795,1684.0,28.066666666666666
5471798,238.0,3.966666666666667
5471866,4370.0,72.83333333333333
5471883,2593.0,43.21666666666667
5471907,747.0,12.45
5471925,497.0,8.283333333333333
5471982,1079.0,17.983333333333334
5472001,336.0,5.6
5472035,349.0,5.816666666666666
5472116,439.0,7.316666666666666
5472138,735.0,12.25
5472162,693.0,11.55
5472186,1932.0,32.2
5472190,990.0,16.5
5472191,3460.0,57.666666666666664
5472198,162.0,2.7
5472213,1963.0,32.71666666666667
5472218,1377.0,22.95
5472219,717.0,11.95
5472235,1590.0,26.5
5472245,308.0,5.133333333333334
5472256,340.0,5.666666666666667
5472265,14.0,0.23333333333333334
5472290,1834.0,30.566666666666666
5472295,235.0,3.9166666666666665
5472326,920.0,15.333333333333334
5472346,312.0,5.2
5472360,2837.0,47.28333333333333
5472369,2350.0,39.166666666666664
5472446,318.0,5.3
5472481,46.0,0.7666666666666667
5472484,1036.0,17.266666666666666
5472494,323.0,5.383333333333334
5472507,1028.0,17.133333333333333
5472508,3143.0,52.38333333333333
5472518,3382.0,56.36666666666667
5472544,5717.0,95.28333333333333
5472573,1968.0,32.8
5472603,217.0,3.6166666666666667
5472651,1801.0,30.016666666666666
5472748,446.0,7.433333333333334
5472864,719.0,11.983333333333333
5472911,352.0,5.866666666666666
5472961,677.0,11.283333333333333
5472971,657.0,10.95
5473054,1754.0,29.233333333333334
5473142,1357.0,22.616666666666667
5473192,379.0,6.316666666666666
5473251,338.0,5.633333333333334
5473268,416.0,6.933333333333334
5473272,337.0,5.616666666666666
5473275,242.0,4.033333333333333
5473335,750.0,12.5
5473336,434.0,7.233333333333333
5473338,459.0,7.65
5473370,1707.0,28.45
5473448,891.0,14.85
5473466,495.0,8.25
5473468,1294.0,21.566666666666666
5473510,280.0,4.666666666666667
5473539,677.0,11.283333333333333
5473549,665.0,11.083333333333334
5473555,5561.0,92.68333333333334
5473609,1269.0,21.15
5473633,783.0,13.05
5473676,591.0,9.85
5473850,682.0,11.366666666666667
5473853,989.0,16.483333333333334
5473863,7719.0,128.65
5473931,435.0,7.25
5473957,794.0,13.233333333333333
5473964,2260.0,37.666666666666664
5473988,154.0,2.566666666666667
5473999,1551.0,25.85
5474081,413.0,6.883333333333334
5474180,442.0,7.366666666666666
5474223,263.0,4.383333333333334
5474228,34.0,0.5666666666666667
5474233,193.0,3.216666666666667
5474261,865.0,14.416666666666666
5474276,4936.0,82.26666666666667
5474315,1526.0,25.433333333333334
5474347,131.0,2.183333333333333
5474382,308.0,5.133333333333334
5474426,271.0,4.516666666666667
5474439,950.0,15.833333333333334
5474450,371.0,6.183333333333334
5474481,154.0,2.566666666666667
5474505,2222.0,37.03333333333333
5474508,941.0,15.683333333333334
5474593,210.0,3.5
5474614,297.0,4.95
5474621,700.0,11.666666666666666
5474646,1321.0,22.016666666666666
5474648,989.0,16.483333333333334
5474654,239.0,3.9833333333333334
5474733,301.0,5.016666666666667
5474749,718.0,11.966666666666667
5474750,2324.0,38.733333333333334
5474819,764.0,12.733333333333333
5474925,524.0,8.733333333333333
